2021-08-25T15:40:57+02:00,system,internet,TRUE,FALSE
2021-08-25T15:41:06+02:00,system,internet,FALSE,TRUE
2021-08-25T15:41:09+02:00,system,internet,TRUE,FALSE
2021-08-25T15:41:11+02:00,system,internet,FALSE,TRUE
2021-08-25T15:41:13+02:00,system,internet,TRUE,FALSE
2021-08-25T15:41:14+02:00,system,internet,FALSE,TRUE
2021-08-25T15:41:27+02:00,system,internet,TRUE,FALSE
2021-08-25T15:41:28+02:00,system,internet,FALSE,TRUE
2021-08-25T15:41:42+02:00,system,internet,TRUE,FALSE
2021-08-25T15:41:49+02:00,system,internet,FALSE,TRUE
2021-08-25T15:42:49+02:00,system,internet,TRUE,FALSE
2021-08-25T15:42:54+02:00,system,internet,FALSE,TRUE
2021-08-25T15:42:56+02:00,system,internet,TRUE,FALSE
2021-08-25T15:43:04+02:00,system,internet,FALSE,TRUE
2021-08-25T15:43:09+02:00,system,internet,TRUE,FALSE
2021-08-25T15:43:10+02:00,system,internet,FALSE,TRUE
2021-08-25T15:43:44+02:00,system,internet,TRUE,FALSE
2021-08-25T15:43:48+02:00,system,internet,FALSE,TRUE
2021-08-25T15:44:32+02:00,system,internet,TRUE,FALSE
2021-08-25T15:44:33+02:00,system,internet,FALSE,TRUE
2021-08-25T15:45:01+02:00,system,internet,TRUE,FALSE
2021-08-25T15:45:05+02:00,system,internet,FALSE,TRUE
2021-08-25T15:45:25+02:00,system,internet,TRUE,FALSE
2021-08-25T15:45:27+02:00,system,internet,FALSE,TRUE
2021-08-25T15:45:32+02:00,system,internet,TRUE,FALSE
2021-08-25T15:45:34+02:00,system,internet,FALSE,TRUE
2021-08-25T15:46:21+02:00,system,internet,TRUE,FALSE
2021-08-25T15:46:26+02:00,system,internet,FALSE,TRUE
2021-08-25T15:46:34+02:00,system,internet,TRUE,FALSE
2021-08-25T15:46:35+02:00,system,internet,FALSE,TRUE
2021-08-25T15:46:38+02:00,system,internet,TRUE,FALSE
2021-08-25T15:46:39+02:00,system,internet,FALSE,TRUE
2021-08-25T15:46:41+02:00,system,internet,TRUE,FALSE
2021-08-25T15:46:43+02:00,system,internet,FALSE,TRUE
2021-08-25T15:46:53+02:00,system,internet,TRUE,FALSE
2021-08-25T15:46:55+02:00,system,internet,FALSE,TRUE
2021-08-25T15:47:04+02:00,system,internet,TRUE,FALSE
2021-08-25T15:47:07+02:00,system,internet,FALSE,TRUE
2021-08-25T15:47:09+02:00,system,internet,TRUE,FALSE
2021-08-25T15:47:10+02:00,system,internet,FALSE,TRUE
2021-08-25T15:47:33+02:00,system,internet,TRUE,FALSE
2021-08-25T15:47:34+02:00,system,internet,FALSE,TRUE
2021-08-25T15:48:23+02:00,system,internet,TRUE,FALSE
2021-08-25T15:48:24+02:00,system,internet,FALSE,TRUE
2021-08-25T15:48:39+02:00,system,internet,TRUE,FALSE
2021-08-25T15:48:41+02:00,system,internet,FALSE,TRUE
2021-08-25T15:49:04+02:00,system,internet,TRUE,FALSE
2021-08-25T15:49:05+02:00,system,internet,FALSE,TRUE
2021-08-25T15:49:21+02:00,system,internet,TRUE,FALSE
2021-08-25T15:49:22+02:00,system,internet,FALSE,TRUE
2021-08-25T15:50:33+02:00,system,internet,TRUE,FALSE
2021-08-25T15:50:34+02:00,system,internet,FALSE,TRUE
2021-08-25T15:51:02+02:00,system,internet,TRUE,FALSE
2021-08-25T15:51:03+02:00,system,internet,FALSE,TRUE
2021-08-25T15:51:13+02:00,system,internet,TRUE,FALSE
2021-08-25T15:51:14+02:00,system,internet,FALSE,TRUE
2021-08-25T15:51:50+02:00,competition,checkpointteam,WPP-test,WPP-test-3
2021-08-25T15:51:50+02:00,competition,checkpoint,WP-test,WP-test-3
2021-08-25T15:59:52+02:00,system,internet,TRUE,FALSE
2021-08-25T15:59:53+02:00,system,internet,FALSE,TRUE
2021-08-25T15:59:55+02:00,system,internet,TRUE,FALSE
2021-08-25T15:59:56+02:00,system,internet,FALSE,TRUE
2021-08-25T16:00:21+02:00,system,internet,TRUE,FALSE
2021-08-25T16:00:23+02:00,system,internet,FALSE,TRUE
2021-08-25T16:00:31+02:00,system,internet,TRUE,FALSE
2021-08-25T16:00:32+02:00,system,internet,FALSE,TRUE
2021-08-25T16:01:47+02:00,system,internet,TRUE,FALSE
2021-08-25T16:01:53+02:00,system,internet,FALSE,TRUE
